TimeStamp,v_Vehicle,pos_x,pos_z,v_EgoPerson,pos_x_left_foot,pos_z_left_foot,crossingDecisionToken,SubjectID,ScenarioID,speed,acc,const,dec,Velocity_gradient,sin_Angle,direction,left,central,right,dest,curr_dist_left_dec_x,curr_dist_left_acc_x,curr_dist_left_const_x,curr_dist_right_dec_x,curr_dist_right_acc_x,curr_dist_right_const_x,curr_dist_central_dec_x,curr_dist_central_acc_x,curr_dist_central_const_x,curr_dist_left_dec_z,curr_dist_left_acc_z,curr_dist_left_const_z,curr_dist_right_dec_z,curr_dist_right_acc_z,curr_dist_right_const_z,curr_dist_central_dec_z,curr_dist_central_acc_z,curr_dist_central_const_z,dest_dist_left_dec,dest_dist_left_acc,dest_dist_left_const,dest_dist_right_dec,dest_dist_right_acc,dest_dist_right_const,dest_dist_central_dec,dest_dist_central_acc,dest_dist_central_const,car_dist_left_dec,car_dist_left_acc,car_dist_left_const,car_dist_right_dec,car_dist_right_acc,car_dist_right_const,car_dist_central_dec,car_dist_central_acc,car_dist_central_const,v_Vehicle_Effect,Angle_Left_Acc,Angle_Left_Dec,Angle_Left_Const,Angle_Right_Acc,Angle_Right_Dec,Angle_Right_Const,Angle_Central_Acc,Angle_Central_Dec,Angle_Central_Const,Choice_Literal,Choice,PrevChoice_1,PrevChoice_2,PrevChoice_3,PrevChoice_4,PrevChoice_5,PrevChoice_6,PrevChoice_7,PrevChoice_8,PrevChoice_9,InvID,ID,Observation,left_acc,right_acc,centre_acc,left_dec,right_dec,centre_dec,left_const,right_const,centre_const,,,Avg Acc,Avg Decc,Avg Const
42.36555,7.125973,-123.4153,391.4281,0.04290298,-148.8929,395.7296,FALSE,1,1,Const,0,1,0,-0.023320894,0,C,0,1,0,7,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,25.83816952,25.83816952,25.83816952,25.83816952,25.83816952,25.83816952,25.83816952,25.83816952,25.83816952,7.125973,0,0,0,0,0,0,0,0,0,C-Const,6,0,0,0,0,0,1,0,0,0,18,18,1,0.00184774,0.00766179,0.19449026,0.008096975,0.007940347,0.260112237,0.008246379,0.021176221,0.490428052,0.490428052,,0.06799993,0.092049853,0.173283551
43.47667,5.548362,-130.119,391.4308,0.0147908,-148.8929,395.7296,FALSE,1,1,Dec,0,0,1,-0.014062449,0,C,0,1,0,7,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,19.25977681,19.25977681,19.25977681,19.25977681,19.25977681,19.25977681,19.25977681,19.25977681,19.25977681,5.548362,0,0,0,0,0,0,0,0,0,C-Dec,9,0,0,0,0,0,1,0,0,0,19,19,1,0.001786697,0.007408672,0.188064998,0.007524465,0.007378912,0.241720585,0.007690938,0.019749882,0.518674851,0.241720585,,0.065753456,0.085541321,0.182038557
44.58778,3.968893,-135.0074,391.3419,0.01165276,-148.8929,395.7296,FALSE,1,1,Const,0,1,0,0.646065286,0,C,0,1,0,7,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,14.56224645,14.56224645,14.56224645,14.56224645,14.56224645,14.56224645,14.56224645,14.56224645,14.56224645,3.968893,0,0,0,0,0,0,0,0,0,C-Const,6,0,0,0,0,0,0,0,0,1,20,20,1,0.006251927,0.025924073,0.658068137,0.001548797,0.001518837,0.028775472,0.002046223,0.005254582,0.270611953,0.270611953,,0.230081379,0.010614368,0.092637586
45.69889,2.362474,-138.0926,391.2658,1.45049,-148.8929,395.7296,FALSE,1,1,Acc,1,0,0,0.549182007,0,C,0,1,0,7,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,11.68640195,11.68640195,11.68640195,11.68640195,11.68640195,11.68640195,11.68640195,11.68640195,11.68640195,2.362474,0,0,0,0,0,0,0,0,0,C-Acc,3,0,0,0,0,0,1,0,0,0,21,21,1,0.006008036,0.02491276,0.632396522,0.002255789,0.002212153,0.072466358,0.002870116,0.007370291,0.249507975,0.632396522,,0.221105773,0.025644767,0.086582794
46.81,0.636104,-139.2738,391.2331,1.232056,-149.0647,394.799,FALSE,1,1,Const,0,1,0,0.046943597,0,C,0,1,0,7,-148.8946044,-148.0441263,-148.4977146,-149.3118184,-150.5474101,-149.8884278,-149.1191633,-149.3914798,-149.2462443,394.5518816,393.3162899,393.9752722,394.6289044,393.7784263,394.2320146,394.5039852,393.028911,393.8156172,12.45526039,11.39300129,11.94786296,12.48153746,11.56425848,12.03892226,12.37890313,10.88222707,11.68034818,10.17714049,9.014338771,9.622895036,10.5968533,11.55737735,11.03013206,10.37448159,10.27581539,10.30140968,0.636104,0.724450353,0.724450353,0.724450353,0.846345974,0.846345974,0.846345974,0.06094781,0.06094781,0.06094781,C-Const,6,0,0,1,0,0,0,0,0,0,22,22,1,0.017566279,0.014276517,0.054264299,0.030059397,0.029883943,0.127761286,0.042646901,0.051663492,0.631877885,0.631877885,,0.028702365,0.062568209,0.24206276
47.92111,0.1900432,-139.39,391.2259,1.554809,-149.206,393.5943,TRUE,1,1,Const,0,1,0,0.106381456,3.77003402,C,0,1,0,7,-149.0200239,-148.0901436,-148.5860798,-149.4413995,-150.6183967,-149.9906649,-149.2409476,-149.4156857,-149.3224921,393.3589005,392.1819033,392.8096351,393.4083239,392.4784436,392.9743798,393.2963425,391.8065551,392.6011084,11.25641972,10.27939952,10.7855405,11.25410107,10.26415562,10.77747206,11.16539457,9.665420861,10.4654059,9.863419911,8.752510568,9.331457576,10.28560184,11.29804225,10.74389487,10.06617609,10.04248644,10.02724271,0.1900432,0.790763133,0.790763133,0.790763133,0.780033194,0.780033194,0.780033194,0.00536497,0.00536497,0.00536497,C-Const,6,0,0,0,0,0,1,0,0,0,23,23,1,0.037070994,0.019785282,0.134176359,0.050067921,0.03408897,0.150360707,0.072119246,0.058595593,0.443734928,0.443734928,,0.063677545,0.078172532,0.191483256
49.03222,0.04356436,-139.5113,391.2179,1.468459,-149.2025,391.6893,FALSE,1,1,Const,0,1,0,-0.64519467,6.794959593,C,0,1,0,7,-148.9899786,-147.9273715,-148.4940953,-149.4142419,-150.4729516,-149.9083064,-149.2019488,-149.1991929,-149.2006627,391.4775581,390.4188484,390.9834936,391.4767786,390.4141715,390.9808953,391.3893005,389.889303,390.6893017,9.402596471,8.629715937,9.019144613,9.338412179,8.200897937,8.794053389,9.281311231,7.80227555,8.590189876,9.482234438,8.453918775,8.985853171,9.906325103,10.99107753,10.39970741,9.692164499,9.778570401,9.703770728,0.04356436,0.933951925,0.933951925,0.933951925,0.636844401,0.636844401,0.636844401,0.148553762,0.148553762,0.148553762,C-Const,6,0,0,0,0,0,1,0,0,0,24,24,1,0.00238529,0.000517566,0.007936338,0.082001,0.024719637,0.242903636,0.08775371,0.03030479,0.521478034,0.521478034,,0.003613065,0.116541424,0.213178845
50.14333,0.09827313,-139.4283,391.215,0.1210445,-149.1561,390.2855,FALSE,1,1,Dec,0,0,1,-0.008649009,1.787848573,C,0,1,0,7,-148.9370759,-147.8419557,-148.4260198,-149.3611084,-150.3861507,-149.8394615,-149.1461895,-149.0966368,-149.1230649,390.0804916,389.0554493,389.6021385,390.0664759,388.9713557,389.5554198,389.9856637,388.4864825,389.2860458,8.040601534,7.377196835,7.701824097,7.949730603,6.760524758,7.380689211,7.906675492,6.450465026,7.224881231,9.576216863,8.686383654,9.141131448,9.998989507,11.18518804,10.54260357,9.795337839,10.04597157,9.884803019,0.09827313,0.995786138,0.995786138,0.995786138,0.575010189,0.575010189,0.575010189,0.210387975,0.210387975,0.210387975,C-Dec,9,0,0,0,0,0,1,0,0,0,25,25,1,0.027268856,0.004113161,0.085954637,0.066139402,0.014048373,0.193845033,0.087387632,0.021059136,0.500183769,0.193845033,,0.039112218,0.09134427,0.202876846
51.25444,0.04842812,-139.3426,391.2119,1.449239,-149.1836,388.7381,FALSE,1,1,Acc,1,0,0,0.625368616,-2.911255161,C,0,1,0,7,-148.9752708,-147.9336249,-148.4891694,-149.3994679,-150.4788074,-149.9031597,-149.1889307,-149.2155841,-149.2013689,388.5222321,387.4428926,388.0185403,388.5297708,387.4881249,388.0436694,388.4381474,386.9383842,387.7382579,6.514486401,5.870446502,6.177071903,6.42906985,5.275279951,5.871192741,6.382399211,4.923521293,5.698933181,10.00113296,9.381424519,9.687996581,10.40838167,11.74230032,11.02556601,10.22956165,10.75819466,10.45282328,0.04842812,0.981818153,0.981818153,0.981818153,0.588978174,0.588978174,0.588978174,0.19641999,0.19641999,0.19641999,C-Acc,3,0,0,0,0,0,0,0,0,1,26,26,1,0.122193206,0.022348085,0.377927423,0.024029884,0.005592972,0.040452609,0.036897339,0.010150422,0.36040806,0.377927423,,0.174156238,0.023358488,0.135818607
52.36556,0.1346351,-139.4639,391.2039,1.510746,-149.4281,387.3549,FALSE,1,1,Const,0,1,0,-0.525578864,-9.006145059,C,0,1,0,7,-149.2561312,-148.3962874,-148.8548708,-149.6739185,-150.9030111,-150.2474951,-149.4803197,-149.741418,-149.6021656,387.1090815,385.8799889,386.5355049,387.1829312,386.3230874,386.7816708,387.0594798,385.5823787,386.3701659,5.076626158,4.27849638,4.661300134,5.054694,4.119747687,4.581162141,4.973480141,3.476458065,4.274610021,10.61392158,10.39863333,10.48733737,10.97327061,12.43686434,11.65512908,10.83996688,11.71447303,11.2316256,0.1346351,0.835079679,0.835079679,0.835079679,0.735716648,0.735716648,0.735716648,0.049681515,0.049681515,0.049681515,C-Const,6,0,0,1,0,0,0,0,0,0,27,27,1,0.001758355,0.001055035,0.00343035,0.069345824,0.038577009,0.203790962,0.057514146,0.043484238,0.581044082,0.581044082,,0.002081247,0.103904598,0.227347488
53.47667,0.01794455,-139.487,391.1981,0.2812935,-149.4144,386.2924,FALSE,1,1,Dec,0,0,1,-0.67983638,10.76302151,L,1,0,0,7,-149.1995506,-148.1253034,-148.6982352,-149.6237794,-150.6706762,-150.1123312,-149.4105321,-149.3911925,-149.401507,386.0830206,385.0361238,385.5944688,386.0775506,385.0033034,385.5762352,385.9924249,384.4925496,385.2924831,4.115316222,3.755021056,3.879758607,3.985346981,2.789831686,3.397509385,3.961753698,2.580343327,3.304251208,10.97714332,10.61085469,10.78181514,11.35668625,12.7847612,12.02094121,11.20604935,11.960662,11.54009354,0.01794455,1.081826712,1.081826712,1.081826712,0.488969615,0.488969615,0.488969615,0.296428549,0.296428549,0.296428549,L-Dec,7,0,0,0,0,0,1,0,0,0,28,28,1,0.001672516,0.000184287,0.004974201,0.101004443,0.01361245,0.292215151,0.087386433,0.014215405,0.484735114,0.101004443,,0.002277001,0.135610681,0.195445651
54.58778,0.07289474,-139.4152,391.1953,0,-149.543,385.2247,FALSE,1,1,Dec,0,0,1,0.796861022,-7.606690558,C,0,1,0,7,-149.3577572,-148.4315433,-148.9255241,-149.7789769,-150.9588616,-150.3295898,-149.5788745,-149.7582468,-149.6625815,384.9887231,383.8088384,384.4381102,385.0394572,384.1132433,384.6072241,384.9268527,383.4376161,384.2318756,3.040938323,2.693784335,2.785363715,2.942793403,1.932055078,2.408459008,2.899337993,1.486473528,2.225855809,11.72075259,11.65565364,11.66644237,12.05413923,13.54295573,12.74859399,11.94126084,12.92904776,12.38943532,0.07289474,1.003996801,1.003996801,1.003996801,0.566799525,0.566799525,0.566799525,0.218598638,0.218598638,0.218598638,C-Dec,9,0,0,0,0,0,0,1,0,0,29,29,1,0.144544017,0.032529836,0.452765166,0.011291829,0.004244308,0.057043448,0.026679714,0.007793616,0.263108066,0.057043448,,0.20994634,0.024193195,0.099193799
55.69889,0.03821111,-139.411,391.1904,2.052094,-149.5876,384.2102,FALSE,1,1,Acc,1,0,0,0.506366606,4.350705661,C,0,1,0,7,-149.3849895,-148.3719372,-148.9122318,-149.8088442,-150.9150652,-150.3250807,-149.600776,-149.6666562,-149.6315201,383.9889558,382.8827348,383.4727193,384.0075895,382.9945372,383.5348318,383.9104895,382.4119369,383.211165,2.152259742,2.328756725,2.107439697,1.961146185,0.840441587,1.349398615,1.97000264,0.956680883,1.391736359,12.30208379,12.21948019,12.24075161,12.6375603,14.12500208,13.33134959,12.52312392,13.49962587,12.96638822,0.03821111,1.211961958,1.211961958,1.211961958,0.358834369,0.358834369,0.358834369,0.426563794,0.426563794,0.426563794,C-Acc,3,0,0,0,0,0,0,0,0,1,30,30,1,0.093756814,0.005390014,0.279600954,0.037808596,0.002516513,0.063173837,0.04907817,0.004045571,0.464629531,0.279600954,,0.126249261,0.034499649,0.172584424
56.81,1.597594,-140.6054,391.1497,1.125258,-149.8331,383.0637,FALSE,1,1,Const,0,1,0,0.422496422,-9.568977257,C,0,1,0,7,-149.6700871,-148.8550227,-149.2897237,-150.0849468,-151.3441806,-150.6725892,-149.895915,-150.2099902,-150.0424835,382.8118532,381.5526194,382.2242108,382.9006871,382.0856227,382.5203237,382.7703499,381.3035995,382.0858664,1.107626589,1.868742188,1.313013705,0.859764891,0.752563222,0.313902869,0.899297775,0.991764253,0.574750163,12.31617803,12.65544274,12.45318579,12.56614582,14.05271888,13.25950356,12.51108219,13.75477549,13.08478598,1.597594,1.310602087,1.310602087,1.310602087,0.26019424,0.26019424,0.26019424,0.525203923,0.525203923,0.525203923,C-Const,6,0,0,1,0,0,0,0,0,0,31,31,1,0.071389927,0.003914065,0.162068409,0.049341083,0.001999429,0.144526416,0.056622942,0.003167217,0.506970512,0.506970512,,0.079124134,0.065288976,0.188920224
57.92111,4.002567,-144.4263,390.9932,2.990974,-151.7031,382.0609,FALSE,1,1,Acc,1,0,0,0.298091998,-49.7110436,R,0,0,1,7,-151.7897958,-152.2232751,-151.9920862,-151.9903,-153.4262999,-152.6604333,-151.9674843,-153.2894057,-152.5843809,381.7737,380.3377001,381.1035667,382.1475958,382.5810751,382.3498862,381.9191222,381.210233,381.5883072,1.266224661,2.479494052,1.778797991,1.389202346,2.847321609,2.062195395,1.396340243,2.868194179,2.078202645,11.79916315,13.20350326,12.45174552,11.63867727,12.31924689,11.93766414,11.79865877,13.20079867,12.45015231,4.002567,2.002475168,2.002475168,2.002475168,2.709913812,2.709913812,2.709913812,2.787873332,2.787873332,2.787873332,R-Acc,2,0,0,0,0,0,1,0,0,0,32,32,1,0.000301489,0.019879383,0.313564925,0.000732706,0.00603471,0.21675451,0.000577835,0.017208685,0.424945757,0.019879383,,0.111248599,0.074507309,0.147577425
59.03222,5.885129,-150.4703,390.7321,1.787684,-153.6057,381.6821,FALSE,1,1,Const,0,1,0,-0.608190908,-16.94261269,R,0,0,1,6,-153.772327,-154.6054621,-154.1611234,-153.8551703,-155.1025219,-154.4372677,-153.8999252,-155.3710515,-154.5864508,381.4326297,380.1852781,380.8505323,381.848727,382.6818621,382.2375234,381.6235209,381.3306256,381.4868365,18.93777183,18.07868861,18.52671313,18.8820935,17.72581451,18.33630122,18.82165888,17.33588267,18.12800511,600,600,600,600,600,600,600,600,600,0,0.915564904,0.915564904,0.915564904,0.655231422,0.655231422,0.655231422,0.130166741,0.130166741,0.130166741,R-Const,5,0,1,0,0,0,0,0,0,0,33,33,1,0.000734806,0.000777612,0.007139961,0.049792492,0.023317896,0.174417911,0.036217455,0.042851214,0.664750653,0.042851214,,0.002884127,0.082509433,0.247939774
60.14333,7.802499,-158.6133,390.3303,1.63944,-154.5554,381.5731,FALSE,1,1,Const,0,1,0,-0.715160785,-4.71275457,C,0,1,0,6,-154.7419602,-155.6747614,-155.1772675,-154.7903368,-155.9650205,-155.3385225,-154.8534434,-156.3436603,-155.5488779,381.3381632,380.1634795,380.7899775,381.7596602,382.6924614,382.1949675,381.5388926,381.3678558,381.4590755,17.96451131,17.00978792,17.50946321,17.94287203,16.87219095,17.43534541,17.86468864,16.3668411,17.16564634,600,600,600,600,600,600,600,600,600,0,0.835832416,0.835832416,0.835832416,0.734963911,0.734963911,0.734963911,0.050434252,0.050434252,0.050434252,C-Const,6,0,0,0,0,1,0,0,0,0,34,34,1,0.000462061,0.001395174,0.004610489,0.050829337,0.037432826,0.178822282,0.035053495,0.038554214,0.652840122,0.652840122,,0.002155908,0.089028148,0.242149277
61.25444,9.85144,-168.9692,389.6346,0.1984394,-155.9387,381.3042,FALSE,1,1,Dec,0,0,1,-0.274038447,4.453182955,C,0,1,0,6,-156.1064555,-156.945233,-156.497885,-156.1874129,-157.4309772,-156.7677429,-156.2331876,-157.7056256,-156.9203254,381.0554871,379.8119228,380.4751571,381.4719555,382.310733,381.863385,381.2469545,380.9607269,381.1133816,16.58864078,15.7489913,16.18492943,16.52916007,15.36917385,15.98079179,16.47057289,14.98703902,15.77786961,600,600,600,600,600,600,600,600,600,0,0.924296497,0.924296497,0.924296497,0.646499829,0.646499829,0.646499829,0.138898334,0.138898334,0.138898334,C-Dec,9,0,0,0,0,0,1,0,0,0,35,35,1,0.003825621,0.006620518,0.036984145,0.061462105,0.027390063,0.215183536,0.051006696,0.05727793,0.540249386,0.215183536,,0.015810095,0.101345234,0.216178004
62.36556,11.77275,-181.4584,388.2803,1.030484,-157.308,380.9954,FALSE,1,1,Acc,1,0,0,0.62349581,1.708010369,C,0,1,0,6,-157.4682678,-158.269607,-157.8422261,-157.5616025,-158.8296149,-158.1533416,-157.6006505,-159.0639031,-158.2835017,380.7417975,379.4737851,380.1500584,381.1556678,381.957007,381.5296261,380.9294024,380.5994146,380.7754081,15.21795653,14.44374671,14.84282619,15.13926075,13.93871982,14.57210372,15.09084316,13.62005498,14.40372559,600,600,600,600,600,600,600,600,600,0,0.969426464,0.969426464,0.969426464,0.601369862,0.601369862,0.601369862,0.184028301,0.184028301,0.184028301,C-Acc,3,0,0,0,0,0,0,0,0,1,36,36,1,0.047856914,0.06231927,0.455127815,0.016045029,0.005534086,0.032410692,0.019019406,0.016323383,0.345363405,0.455127815,,0.188434667,0.017996602,0.126902064
63.47667,13.75393,-195.9604,385.7209,1.583993,-158.8635,380.7569,FALSE,1,1,Acc,1,0,0,0.212673363,-3.991460808,C,0,1,0,6,-159.0410318,-159.9286908,-159.4552727,-159.1053315,-160.3144888,-159.6696049,-159.1600346,-160.6427077,-159.8519487,380.5150685,379.3059112,379.9507951,380.9344318,381.8220908,381.3486727,380.7114333,380.4840996,380.6053442,13.64204038,12.80208095,13.23554573,13.58732767,12.44807305,13.04659711,13.52592945,12.04019465,12.8321735,600,600,600,600,600,600,600,600,600,0,0.912753692,0.912753692,0.912753692,0.658042635,0.658042635,0.658042635,0.127355528,0.127355528,0.127355528,C-Acc,3,0,0,1,0,0,0,0,0,0,37,37,1,0.016866771,0.031339734,0.094306865,0.033555788,0.015966071,0.117542494,0.033623404,0.040424945,0.616373928,0.094306865,,0.047504457,0.055688118,0.230140759
